,person,text
294,holt,"I'm sorry, I need to clarify something I said earlier. Sergeant Jeffords was correct when he said that his choice to go back in the field that night was an impulse decision. He didn't even take the time to stop and gear up, so..."
295,holt,"Oh, no. Oh, goodness. I shouldn't have said that. I feel I may have made things worse."
296,holt,"Boyle, let's not make big..."
297,holt,"Oh, good news, Peralta. I found someone from the night shift to relieve you on your stakeout."
298,holt,"Okay, it's your call. All right."
299,holt,Excellent job on the stakeout last night.I'm glad to see you two still work well togetherdespite that ridiculous bet.
300,holt,And I appreciate your turning down the relief team. I'm not sure they could've made that bust.
301,holt,"Okay, what do you got?"
302,holt,"Peralta, give me back my glasses."
303,holt,"All right, lay out the steroids case."
304,holt,"Gentlemen, have a seat. Sergeant Jeffords is just getting back in the field. What if he panics again?"
305,holt,"Okay. It's your case. But if anything goes wrong, it's on you."
306,holt,"Gina, that's terrible. Are you okay?"
307,holt,"Gina, you work in apolice precinct. You can turn to anyone here."
308,holt,They are not buffoons.
309,holt,Some of them are buffoons. But I'll find the non-buffoons to investigate. Could you ask Scully to return my thumbtacks?
310,holt,Good call.
311,holt,No signs of forced entry at the door. But the window was jimmied.
312,holt,"$160 in cash, one TV, one large painting of a naked lady on a lion,one set ofJoseph Gordon-Levittnesting dolls..."
313,holt,One music box that playsshe works hard for the moneywhen opened. One knockoff designer clutch...
314,holt,Why did I just receive a civilian complaint about you two?
315,holt,"Yes, that is it's definition."
316,holt,Leo Sporm.How's business?
317,holt,Everyone knows him.The Picasso of hucksters.
318,holt,Sporm. Out.Now.
319,holt,Detectives.Where are you going?
320,holt,Isn't sergeant Jeffords interrogating the suspect now?
321,holt,Why do you think Gina hired that P.I.?
322,holt,She's scared.
323,holt,"Well, think about how she's been acting."
324,holt,"Her home doesn't feel safe anymore. If someone broke into your apartment and you weren't cops, wouldn't you be scared?"
325,holt,None.
326,holt,It was a hypothetical question.
327,holt,So? How did Sergeant Jeffords do?
328,holt,That does make me happy.
329,holt,Peralta.
330,holt,Do you have a m*rder suspect to question?
331,holt,"You got him, babe. I understood the wordplay, yes."
332,holt,Are those gummy bears wrapped in a fruit roll-up?
333,holt,I pity your dentist.
334,holt,Brief me on the hotel robberies.
335,holt,Keep me updated.
336,holt,Good-bye.
337,holt,"Now I know you'd all prefer to go to a bar, drink beer, and eat chips of various textures. But our CompStat numbers are due tomorrow morning, so I need these arrests on the books today."
338,holt,Dismissed.
339,holt,"I'm worried.The CompStat numbers are due tomorrow at 9:00 A.M., but at this rate, we won't be finished until your daughters are grown and married."
340,holt,Are you saying you want to secretly perform scientific experiments on your friends and coworkers to increase efficiency?
341,holt,"Sounds fun, let's do it."
342,holt,"Good. What's this red area here, the Diaz triangle?"
343,holt,"Mt. Diaz. Humorous, yes."
344,holt,The bathroom.
345,holt,Ca-caw!
346,holt,Ca-caw!
347,holt,"It's good, but we can do better. Tell me about the Boyle-Linetti Reaction."
348,holt,"Well, I really can't blame her on this one. Maybe we should just, uh, empty lost and found."
349,holt,"Oh, my God, we're doomed. Boyle looks like a lesbian."
350,holt,Well done.
351,holt,"I think we should keep going, make the office even more efficient."
352,holt,Are you familiar with the story ofMoneyball?A man uses statistics and logic to win several baseball games. It's my favorite film.
353,holt,The statistical analysis...  It's so beautiful.
354,holt,"This office is becoming a powerhouse of paperwork processing. I'm flying high, Sergeant, and I'm never coming down."
355,holt,"Hello, Peralta."
356,holt,Updates on the case?
357,holt,"Yes, she told me yesterday."
358,holt,"Santiago wants to make Captain one day. I know, because I've frequently caught her wearing my hat and looking into a mirror."
359,holt,"I support her decision. That's what good detectives do. They have each other's back, no matter what."
360,holt,Back to the drawing board.
361,holt,"The problem is, we didn't take Peralta into account. In our next trial--"
362,holt,"Please, I'm open to any ideas about efficiency."
363,holt,"Well, I suppose it's possible we may have been a tad enthusiastic in our pursuit of efficiency..."
364,holt,"Fine, message received. Jeffords and I will get right to work."
365,holt,Get the h*ll out of my chair.
366,holt,Make sure that phrase is not in your official report.
367,holt,"I want you and Santiago to tail Augustine until he makes the drop, and then arrest him and the buyer."
368,holt,That's enough. Peralta and Santiago will tail Augustine. Boyle and Diaz will join them in a surveillance van unless you have a problem with that.
369,holt,"Come in and shut the door. I have some news, which you must promise to keep secret. Madeline Wuntch is making me head of public relations for the NYPD. I'm being forced out of the Nine-Nine. I don't wish to make a big deal of it, so please limit your reactions to one second; go."
370,holt,That's plenty.
371,holt,"I'm not going anywhere. Madeline's not some invincible succubus. She's a regular succubus, and she can be defeated. We just need to find the letter."
372,holt,"Before our current police commissioner was hired, a mutual friend told me Madeline wrote a letter to the mayor telling him it was a mistake. She apparently called her now-boss a ""simpering buffoon""."
373,holt,"A copy of that letter exists in the mayor's archives. I can't go snooping around without alerting Madeline, so it won't be easy, and we don't have much time, but I need you to find that letter. Are you with me?"
374,holt,Well done. Now get me Madeline and a bucket of water. It's time to melt a witch.
375,holt,"Madeline, thank you for coming."
376,holt,Care to sit? I'm sure you'd like to take some weight off your cloven hooves.
377,holt,"Actually I was calling you a goat, you goat."
378,holt,I'd like to talk about my promotion.
379,holt,"Don't count your gross fish babies before they've hatched, Madeline."
380,holt,It doesn't matter how I got it.
381,holt,"Yes, well, who wouldn't want to see a man fight a crocodile? Now, Madeline, before one of us starts weeping like a war widow, would you like to give me my precinct back?"
382,holt,"You have until tomorrow, you grackle."
383,holt,Wuntch.
384,holt,"So nice of you to greet us, Madeline. I thought surely you'd still be crushed under that house in Munchkinland."
385,holt,"Describing your breakfast? I came out as a gay cop in the 1980s, so it's gonna take more than reassigning me to break my spirit. I'll turn this place around just like I did the Nine-Nine."
386,holt,"Thank you, Chief Wuntch. I'm excited to be back. I look forward to doing meaningful work, beginning with my eight-point plan for community engagement."
387,holt,"Oh, no."
388,holt,"I know you've been working on picking a name for the pigeon mascot for, uh, several months now. I feel like you might need a breather, so I've prepared an eight-point presentation on community engagement."
389,holt,"Well, it says here it's scheduled ""after everyone leaves."""
390,holt,Very well. My thoughts are: who cares?
391,holt,No.
392,holt,What does it matter? Why'd you even choose a pigeon anyway? It's a terrible mascot.
393,holt,"They're carriers of disease, and they eat garbage!"
394,holt,You can't make me.
395,holt,...Paulie.
396,holt,"Actually, that's exactly your place to say. You are my assistant. What precisely did you think your job was?"
397,holt,Hmm.
398,holt,"I'd like to propose a truce. Our feud is getting in the way of the NYPD's business. Madeline, the PR department is a joke. Their work here is meaningless. Nine weeks to choose the name Paulie. I knew instantly it should be Pepper, Officer Pepper O'Pigeon."
399,holt,I could turn this department around if you'd let me. You're wasting my talents.
400,holt,"No, Madeline, I don't have my own pigeon pants."
401,holt,"I can't put that pigeon head on, Gina. Wuntch has defeated me. This is how it ends, with me standing on the urine-soaked floor of an elementary school bathroom in a third-rate bird costume. I quit."
402,holt,"I thought your reality show was to be called ""Gina in a Bottle."""
403,holt,Community engagement.
404,holt,Inspiring words. I'm going to give that speech. Help me with that pigeon head.
405,holt,Let's blow some tiny minds.
406,holt,Mm.
407,holt,"Just remember, we're here as PR representatives. I don't wanna be disruptive."
408,holt,I would hate it if these doors opened and everyone stopped working to applaud us.
409,holt,Yes.
410,holt,"Hmm, strange to be on this side of the desk."
411,holt,I'm fairly certain that's a dog.
412,holt,"Sergeant Jeffords, hello."
413,holt,"Well, I won't take up too much of your time. Because the Nine-Nine was Captain Dozerman's last  precinct, you will be seated at the front of the funeral. I wanted to alert you that there'll be press, cameras—"
414,holt,"Oh, I noticed in the bullpen that you had changed the case numbering system. I found, when I was commanding officer, that—"
415,holt,I was making a suggestion.
416,holt,"Yes, well, I know my way out."
417,holt,Yes.
418,holt,"No, I most definitely left."
419,holt,"Let me stop you right there, Peralta. I'm not the Chief of Detectives. I'm not the Vulture's boss. I'm just some guy in PR."
420,holt,"I can't save your ass. I don't work here anymore. And the sooner you accept that, the better."
421,holt,"No. Until this morning, some small part of me still believed I would be captain of the Nine-Nine again. What a fool I was. I should never have returned. It's like visiting your childhood home and seeing it's been replaced by a denim pants store."
422,holt,"I can't. I've been asked to deliver a toast here after the funeral, a message of hope. This is what I have so far: ""Pain."" That's it."
423,holt,"Maybe I will. But first, you're gonna have one drink with me, Sergeant. For old times' sake?"
424,holt,One drink.
425,holt,Everyone I work with is a stupidface. Especially Bryce.
426,holt,Hmm?
427,holt,Hmm?
428,holt,Hmm?
429,holt,"Yes, you already mentioned the yogurt."
430,holt,"But the Vulture told you not to, and you had to listen. He's your captain now, Terry."
431,holt,"Hmm. ""Everything is garbage."" I should put that in my message of hope."
432,holt,And now for a message of hope.
433,holt,Everything is garbage.
434,holt,"You find something you care about, and it's taken from you: your colleague, your dream job, your mango yogurt."
435,holt,Never love anything. That's the lesson. To Captain Dozerman.
436,holt,I have one. Holt saves your ass.
437,holt,"I was moved by your speech, Peralta."
438,holt,The syntax was problematic.
439,holt,And your vocabulary is a true indictment of the public school system.
440,holt,"But the fact that you're not willing to give up in the face of adversity is inspiring. I love the Nine-Nine, and I'm not gonna turn my back on the squad. So I fixed your problem with the Vulture."
441,holt,I may just be a guy in PR. But what does the Vulture love more than anything?
442,holt,No. Publicity.
443,holt,"Captain Pembroke, how would you like your face on the NYPD website?"
444,holt,"In exchange for media attention, the Vulture will not bust you down or stand in the way of you two dating."
445,holt,Anything for the Nine-Nine.
446,holt,"Santiago, thank you for coming in. It's no secret the NYPD has an image problem."
447,holt,"Police approval ratings are, pardon my language, in the commode. All the headlines are about the bad cops, but there are good cops too, and I want to put up posters that showcase some of our best. I'd like you to be on the first one."
448,holt,"I think this campaign is very promising. Santiago, what's your take?"
449,holt,"I didn't ask you, and you're not a police officer."
