person,text
holt,"Well, that's certainly not what I expected this to be about."
Bob Ross,"Now, very, very gently, a hair just about touches, not quite, just about. There we go"
Donald Trump,My mother has such a crush on you. She beat breast cancer this past year. Can I request a RT for my hero.Love
Bob Ross,"And every day, as I say, I see more and more evidences of it. Every day. Shoot, lets have fun. Maybe, in our world, lets have another little watery spot right here"
Donald Trump,"Drove around the new ""Blue Monster"" again tonight. Saving photos. What Donald Trump has done here will shock golf world!"
Donald Trump,"Breaking News: The Fifth Circuit Court of Appeals just reversed a lower court decision & gave us the go ahead to build one of the largest sections of the desperately needed Southern Border Wall, Four Billion Dollars. Entire Wall is under construction or getting ready to start!"
holt,Manscaping.
Bob Ross,little things in here all kinds of little things just wherever you think they should be just a few though once again this will get too bright on you very easily so dont overdo it gets to feel good
Bob Ross,brush and gently tap right on the base of it round the bottom just tap it now avoid taking the brush like this and hitting it itll cut it off real straight and looks like somebody took a big knife
Donald Trump,Do you notice that oil prices just went up big time
Donald Trump,"Watch me tonight on Fox News at 10 p.m. with Greta Van Susteren,"
holt,Care to sit? I'm sure you'd like to take some weight off your cloven hooves.
Bob Ross,"We want this paint to be thin, almost, looka there, it runs, its almost like ink. Turn the bristles in there. That brings it to a very sharp point and loads it full of color. Need a lot of color, ok"
holt,I'm still young enough to beat that ginkgo out of your hands.
holt,"Look, Gina, is that a talking raisin?"
holt,"Sergeant, are you familiar with the Hungarian fencing term, Hosszú Gorcs?"
Bob Ross,quieter but itll still leave a little Sparkle out here right on the edge of these trees or maybe a little lights just shining through okay lets do this one there see that tree little bit right here
holt,No.
holt,Good-bye.
Bob Ross,"Turn the bristles. That loads it full. Turn them so its very sharp. See, there you can see it. See how sharp it is"
holt,Are you familiar with the story ofMoneyball?A man uses statistics and logic to win several baseball games. It's my favorite film.
Bob Ross,Lets start out and have them run all the colors across the screen that you need to paint along with us. Theyll come across right about there
Bob Ross,"Theres such a thing as a little brush beater rag. So when youre doing this at home, you dont cover the entire living room or wherever you happen to be painting"
holt,"Peralta, give me back my glasses."
holt,What did I say about doing voices?
holt,That's worse.
Bob Ross,"Ive several of these old brushes going, so I dont hafta spend all my time just cleaning brushes. And here Im gonna tap to soften the bottom edge"
holt,"Good morning, Boyle. It's Halloween; I'm surprised you didn't put on a costume."
Donald Trump,". Cannot wait for the newest season of The Celebrity Apprentice!! I've been a huge fan since it started"" Great!"
Bob Ross,"Now lift upward. And maybe, Ill tell you what, lets have one more. Lets have one more. Im adding a little more of that dark color right into that same original pile. One more"
Bob Ross,little highlight on the roof this is an old cabin I like to do old buildings if you painted with me before you know that I like these old buildings take a little bit of light color light brown right
Bob Ross,"Thisll be our little trees that are way, way back in the distance, bushes and trees and all the little things happening back here"
Donald Trump,"The Media hates Trump b/c he's a Proud American Entrepreneur who loves his country, wants others 2 succeed & calls out their lies"
holt,"Are you crying, Santiago?"
Bob Ross,"Because of the black gesso, you have all these little things in the background. And you can take your time and make these much more distinct, and more like trees is you wanted to"
holt,What?
Donald Trump,. has to do better reporting if it wants to keep up with the crowd.So totally one-sided and biased against me that it is becoming boring
holt,Why would I ever eat off his shirt?
Donald Trump,Anderson Silva just got knocked out by new champion Chris Weidman! Congrats to Chris.
Bob Ross,"People whove never painted do this every day and it works for them. All right, I think Ill have some water in this painting today, I love water"
Donald Trump,Consumer Confidence number very good. Housing sales in September up nicely. Economy Rocks!
Bob Ross,"Even with my palette this big, I still run out of room. Were gonna take black, brown, mix them together. Now then, over here Im gonna take a little bit of white and black to make a gray color"
holt,"Could be a week, could be a month."
holt,"But the fact that you're not willing to give up in the face of adversity is inspiring. I love the Nine-Nine, and I'm not gonna turn my back on the squad. So I fixed your problem with the Vulture."
Donald Trump,"Something must be done with dopey - he is pushing Republicans down the same old path of defeat. Don't fall for it, Karl is a loser"
Donald Trump,Yes--amazing!
Bob Ross,just mix it up like so take the knife cut off a little roll of paint so its right out edge of the knife okay now we had to make our first big major decision where does your Mountain live maybe in our
holt,"Well, Detective, I'm happy to see you're learning how to be part of a team. Everybody go home. Sleep it off."
holt,"Police, freeze!"
Bob Ross,"So now each plane in the painting, each layer of the painting has stopped at a different point within this tape and thats one of the things that make this painting so interesting when people look at"
Donald Trump,The Scotland golf course in Aberdeen is open & packed—really cool to see & many are saying the greatest golf course ever built.
Donald Trump,"...We should be standing up straight and tall, ideally with a salute, or a hand on heart. There are other things you can protest, but not our Great American Flag - NO KNEELING!"
Bob Ross,"Somebody might need to come along and stay in this old cabin, so hes got to have a way to get in"
holt,"Hmm, strange to be on this side of the desk."
Donald Trump,"....to it, as appropriate. The Task Force will also be very focused on Vaccines & Therapeutics. Thank you!"
Bob Ross,"Lets just begin putting in all kinds of little limbs that are still hanging on here, even though the tree is dead. There are still a few of em here that are hanging on for dear life"
Bob Ross,Now we can go up in here and lets begin laying in some little highlights. Let that knife just bounce and wiggle and jiggle. Just have fun
Donald Trump,.....The Witch Hunt is over but we will never forget. MAKE AMERICA GREAT AGAIN!
holt,They're both your locker.
holt,"Sergeant Jeffords, a word."
Bob Ross,and now work is fun and Ive met so many Fantastic people through the through The Joy of Painting and that may be the most fun at all Ive made friends that I gee I just I just never never dreamed and
holt,"Yes, you did. Now just arrest Ratko. All right, Ratko, down. Drop the weapon. Hands on your head. Here we go.  Hey!"
holt,Detectives. I see we got eight recruits for the Junior Police Program. Outstanding.
Bob Ross,"And it makes your mountain get lighter and lighter, toward the base. Thats exactly what were looking for. There we go, just blend it till it just sort of floats up there in the sky. There"
holt,You're not very good at math. What are the charges against Judy?
Donald Trump,"...The problem is, no matter what the Radical Left Democrats get, no matter what we give them, it will never be enough. Just watch, they will Harass & Complain & Resist (the theme of their movement). So maybe we should just take our victory and say NO, we’ve got a Country to run!"
holt,"Yes, I'm the fool. You fool."
Bob Ross,"Okay, well just have this come right on down through here. Fill that in"
holt,"Excuse me, if..."
holt,I don't know who has it.
Bob Ross,You know me. I always want to live in these scenes after I paint them. So Im going to put a little cabin right there. A little house
Donald Trump,"You need to become president before world war 3 starts!"" Do not kid yourself, World War III could happen."
holt,Your constant hovering is going to draw attention to the situation. The last thing I want is for the rest of the precinct to get involved. I’m going home to work in peace.
holt,"Gina, you work in apolice precinct. You can turn to anyone here."
Donald Trump,Donald Trump on he'll be at tomorrow
Donald Trump,"If we are going to continue to be stupid and go into Syria (watch Russia), as they say in the movies, SHOOT FIRST AND TALK LATER!"
Bob Ross,"You just have to make a decision where your water lives. Touch and pull down. Now, once again, this blue is a very cool color"
holt,"Okay, what do you got?"
Donald Trump,"Mitch McConnell just told a group of people, and me, that he has been in the U.S. Senate for 32 years and the last two have been by far the best & most productive of his career. Tax & Regulation Cuts, VA Choice, Farm Bill, Criminal Justice Reform, Judgeships & much more. Great!"
Donald Trump,"I look forward to you on Mondays! Always insightful conversations"" Thanks"
holt,"I know you've been working on picking a name for the pigeon mascot for, uh, several months now. I feel like you might need a breather, so I've prepared an eight-point presentation on community engagement."
Donald Trump,"Steel Dynamics announced that it will build a brand new 3 million ton steel mill in the Southwest that will create 600 good-paying U.S. JOBS. Steel JOBS are coming back to America, just like I predicted. Congratulations to Steel Dynamics!"
holt,Mm-hmm.
holt,"Hang on, Santiago. I'm not sure I can trust you. You're Peralta's... paramour. Maybe you should be on his team."
holt,"Okay, it's your call. All right."
holt,"All talented detectives haves their ups and downs, Peralta."
holt,Tell me what?
holt,"Hand me the small dog, Santiago."
Donald Trump,"CORRUPT--with the national security leaks and Fast & Furious, there are clearly at least two cover ups in White House."
holt,That was only seven.
Donald Trump,I will be strongly pushing Comprehensive Background Checks with an emphasis on Mental Health. Raise age to 21 and end sale of Bump Stocks! Congress is in a mood to finally do something on this issue - I hope!
Donald Trump,Always bear in mind that your own resolution to succeed is more important than any other. -- Abraham Lincoln
Donald Trump,"It is a ""miracle"" how fast the Las Vegas Metropolitan Police were able to find the demented shooter and stop him from even more killing!"
Donald Trump,very subdue atmosphere. Not take it away from Kaymer but it's like watching paint dry # USOpen # anticlimax
holt,The bathroom.
Donald Trump,If the Wall Street protesters are upset about the economy then they should really be protesting at the White House.
Donald Trump,"After all of these years of suffering thru ObamaCare, Republican Senators must come through as they have promised!"
holt,You want backup?
holt,"Very cool—I mean, awful. What's our strategy?"
holt,Yes.
holt,"This year's the tie-breaker, a final heist to decide once and for all the true king of the Nine-Nine."
Bob Ross,"And so lets start right here with a little bit of Cad yellow, with just the least little touch of Phalo green in it"
holt,This isn't about pizza. What's it actually about?
Donald Trump,I did what was an almost an impossible thing to do for a Republican-easily won the Electoral College! Now Tax Returns are brought up again
holt,"The first year, by sheer, dumb luck, Jake eked out a feeble victory."
holt,This is not good.
Bob Ross,There we go. Now you can make any kind of tree you want. Maybe you want a tree that- maybe you want a maple tree here. Thats okay. You decide. You decide. Im gonna put another one right there
Donald Trump,"great interview, yeah Trump said Iraq would be a disaster yrs back if not controlled..he was right"
Bob Ross,"OK, now well take a dark color and Ive used a thin oil here, and maybe well put a few little things that are just, sort of, playing around out like so"
Donald Trump,Miss ya too darling! Happy Holidays! TTYS;)
holt,"That's a good idea, sergeant. We'll take the van."
Bob Ross,"rhythmic beating But hes getting a little old for that, were gonna have to, gonna have to turn him loose pretty quick. Just about grown. There"
Donald Trump,I want you to be president! Thanks.
Bob Ross,laughs Dont you tell em any different. Thats our secret. There. And here and there we can just take the brush and tap in some bigger shapes. Something like so. Alright
Donald Trump,just got a phone survey about your sign in Chicago - love it & the beautiful building it's on. Well done.
holt,"When I lock my shooting arm, the other hand feels unstable. Now, what stance am I supposed to be doing... Weaver or isosceles?"
Donald Trump,Thanks Matthew!
Donald Trump,"Big day! Pastor Andrew Brunson, who could have spent 35 years in a Turkish prison, was returned safely home to his family today. Met in Oval Office, great people! Then off to Kentucky for a Rally for Congressman Andy Barr. Tremendous crowd & spirit! Just returned to White House."
Donald Trump,. is a great guy & a total winner! He understood - he did not leave me any other choice. Look forward to keeping in touch.
holt,"Oh, congratulations, Detective Boyle. You should've involved him sooner. Turn over your files to Detective Pembroke."
Donald Trump,"In order not to pay Tariffs, if they start rising, companies will leave Mexico, which has taken 30% of our Auto Industry, and come back home to the USA. Mexico must take back their country from the drug lords and cartels. The Tariff is about stopping drugs as well as illegals!"
holt,Fine. But before we go into lockdown --
Bob Ross,"And maybe some limbs up in here. Right through here, there we go"
holt,"Squad, that's enough. You're making Boyle feel bad on purpose. He's Elvis."
Donald Trump,Does a day go by when you don't pat yourself on the back? Not many!
Donald Trump,"Trump for president 2016, this country needs a different kind of change"" Thanks!"
Donald Trump,It is important to think positively. Negative thinking will kill your focus and destroy any chance you have of being successful.
Donald Trump,I have and will.
Bob Ross,got a long finger that comes right out through there now when youre doing yours you put clouds wherever you want them dont try to just copy what we have here everybody sees nature differently there
holt,"Hmm. I'm surprised she hasn't marched in here to say ""I told you so."
holt,"Maybe now's not the best time, Detective."
Donald Trump,I will be having a White House Press Conference today at 5:00 P.M. Thank you!
Bob Ross,You need a thin paint to go over the top of this very thick paint that youve put on. So there we go
holt,"I chose you because the threat is not real, and I thought you’d have no problem breaking the rules and letting me do my work. Now, let me go."
Donald Trump,“Concentration and mental toughness are the margins of victory.” - Bill Russell
Donald Trump,Doing interview today with Maria Bartiromo at 10:00 A.M. on - ENJOY!
Donald Trump,"How could Jeff Flake, who is setting record low polling numbers in Arizona and was therefore humiliatingly forced out of his own Senate seat without even a fight (and who doesn’t have a clue), think about running for office, even a lower one, again? Let’s face it, he’s a Flake!"
Donald Trump,"Can’t let Brett Kavanaugh give Radical Left Democrat (Liberal Plus) Opinions based on threats of Impeaching him over made up stories (sound familiar?), false allegations, and lies. This is the game they play. Fake and Corrupt News is working overtime! # ProtectKavanaugh"
Bob Ross,Just drop them in real quick. Need a lot of paint on your fan brush when youre doing this
Bob Ross,And some little grassy areas coming down through here. Lets turn that into a nice reflection
Donald Trump,Thanks Alex.
Bob Ross,"I see it. Theres a little waterfall. Lives right in there. That easy. And you can do that basically, go over and down, over and down. Its most important you have a flat edge up here"
Donald Trump,"MAKE AMERICA GREAT AGAIN, which is happening, and then, KEEP AMERICA GREAT!"
Bob Ross,"And as I say, if you have time, send us a photograph of your attempts. We would love to see them. There. I think were gonna call that one done. I really hope youve enjoyed this little painting"
Donald Trump,How can Hillary run the economy when she can't even send emails without putting entire nation at risk
Bob Ross,"We just let that run right on out til it disappears. Now we can begin thinking about the shape, and blend. There we go. And already we begin having the general outline of our wave there"
Bob Ross,"Hi. Welcome. Certainly glad to see ya again. Today I thought wed do a fantastic little painting on a black canvas, as you can plainly see"
holt,"No, it didn't."
holt,I’d like to text my husband and tell him I’ll be coming home late.
Donald Trump,Dopey--Big success and great for Scotland!
Bob Ross,"And you can put things in like, like if you wanted to paint a little house or a building, you could do it all with the gesso, and then basically, all you need to do is just take, put some clear over"
Donald Trump,you'll be the first person I ever vote for. # Trump2016
Bob Ross,"If this is your first time with us, allow me to extend a personal invitation for you to drag out your paints and brushes and paint along with us each show"
Bob Ross,"Thats really all we need. Now, lets get crazy. laughs You know me. We got a second left here. Lets take, in our world breathy whistle maybe breathy whistle yep, you guessed it"
holt,"I can't. I've been asked to deliver a toast here after the funeral, a message of hope. This is what I have so far: ""Pain."" That's it."
Donald Trump,"Obama has destroyed the middle class. In ’09, median household income was $55,198. Now it is $50,678. Four more years"
Donald Trump,Wind Mills are highly dangerous - They tend to sheer off blades and catch fire in gales and storms True!
Donald Trump,Dem Gov. of MN. just announced that the Affordable Care Act (Obamacare) is no longer affordable. I've been saying this for years- disaster!
Donald Trump,"The reason Ed Schultz said nice things about me is that I’m the only Repub who won't cut Social Security, etc. I’ll make America rich again!"
Donald Trump,"When are you coming to # virginiabeach?"" Very soon!"
Donald Trump,People ask about She is actually a VP of Marketing at the Trump Organization. # CelebApprentice
holt,Seriously? I'm surprised you didn't know. I don't try to hide it.
holt,"This year, we both attempt to steal the same object, instead of Jake attempting to steal one from me."
Bob Ross,the yellows this is a little bit of yellow ochre little CAD yellow shoot well take a little Indian yellow and some sap green and we just mix them right on the brush my yellows are a little bit
Donald Trump,GO VOTE FROM NOW TO 8:30 P.M. NEVADA. I WILL BE AT VARIOUS CAUCUS SITES. MAKE AMERICA GREAT AGAIN!
Donald Trump,"I love and the way he will speak the truth regardless. I have so much respect for this man. # hero"" Thanks."
Donald Trump,"tweets the best quotes. Perfect motivation for an aspiring entrepreneur."" Thank you."
Donald Trump,PRESIDENTIAL HARASSMENT!
Donald Trump,"Watch at 6:00 P.M. on Russian Hoax the big topic! Mainstream Media, often referred to as the Fake News Media, hates to discuss the real facts!"
holt,To use the restroom.
Donald Trump,"I heard your interview on I enjoyed every second of it. # RadioGold"" Thanks."
Donald Trump,Entrepreneurs: Stay focused and be tenacious. Remain fixed on your goals.
holt,I don't think Evan gets what we're doing here.
holt,Do you need a math tutor? Because the department will provide one for you.
holt,"It was a rhetorical question. I've spent the last 12 years fighting for my first command, and I'm not gonna let you screw it up because you refuse to take your job seriously."
Donald Trump,I don't like why is she even on I wish could answer this for me.
holt,"Fine, message received. Jeffords and I will get right to work."
holt,"Thank you, Santiago. That'll be all."
Donald Trump,I hear same doubters as I heard when Reagan ran against Carter. Press said he'd lose. Reagan WON.
Donald Trump,The Obstructionist Democrats have given us (or not fixed) some of the worst trade deals in World History. I am changing that fast!
Donald Trump,Just confirmed that Abu Bakr al-Baghdadi’s number one replacement has been terminated by American troops. Most likely would have taken the top spot - Now he is also Dead!
holt,Are those gummy bears wrapped in a fruit roll-up?
Donald Trump,"Just watched Wacky Tom Steyer, who I have not seen in action before, be interviewed by He comes off as a crazed & stumbling lunatic who should be running out of money pretty soon. As bad as their field is, if he is running for President, the Dems will eat him alive!"
Bob Ross,"So Im going to take some more of the titanium white and a little bit of canyon yellow, its very bright yellow, very strong yellow. Just a little"
holt,"You can ignore that garbage, Santiago. Jimmy Brogan wouldn't know a legit cop if he punched him in the face."
holt,"Put it down, put it down."
Donald Trump,"So interesting that, when I announced Trump National Doral in Miami would be used for the hosting of the G-7, and then rescinded due to Do Nothing Democrat/Fake News Anger, very few in Media mentioned that NO PROFITS would be taken, or would be given FREE, if legally permissible!"
holt,Huh.
Donald Trump,Thanks Roger--Ali was and is great!
Bob Ross,All were doing right now is putting on some dark so our lightll show when we put it in there. There. This is the way we begin creating distance and depth in this painting
Bob Ross,Maybe theres a little ridge coming down through here. Little sunlight playing across the stones
Bob Ross,"If youve painted with me before, you know I dont like all my trees to just be perfectly straight, I like trees that have character. I like trees that are like people"
Bob Ross,"Touch, and lets put in the indication of some nice little shadow areas here. No pressure, absolutely no pressure. Just let the knife barely graze the canvass. Just barely touch it"
Bob Ross,So we just lay that in
Donald Trump,"Just left Istanbul, Turkey, yesterday where # TrumpTowers was just opened--magnificent!"
Donald Trump,"....USA has gained Trillions of Dollars in wealth since November 2016. All others way down. Our power is Economic before having to use our newly rebuilt Military, a much better alternative. Oil is secured. Our soldiers have left and are leaving Syria for other places, then...."
holt,Get to the point.
Bob Ross,"I want some reflections under that. So all you have to do, since the canvas is wet with the Liquid White, is grab that and pull it straight down. Pull it down, isnt that sneaky"
holt,Cases will be assigned as they usually are.Dismissed.
Donald Trump,The next celebrity apprentice cast is True!
Donald Trump,"The IG Report totally destroys James Comey and all of his minions including the great lovers, Peter Strzok and Lisa Page, who started the disgraceful Witch Hunt against so many innocent people. It will go down as a dark and dangerous period in American History!"
Bob Ross,"Over here, Im gonna go a little bit more to the blue side. There, well just mix up several little values, so we can just pick and play there. However we want to do it. Alright"
Bob Ross,"Just sort of see these things in your mind, drop them in. Drop them in wherever you think they should live. Maybe that goes all the way down there, I dont know. Little bit in there"
Donald Trump,"What my father really gave me is a good (great) brain, motivation and the benefit of his experience-unlike the haters and losers (lazy!)."
holt,"There were two men released from holding today that were the right height and weight to be our thief on the security footage. Even if it is one of them, how will we know?"
Donald Trump,"Feels good to be home after seven months, but the White House is very special, there is no place like it... and the U.S. is really my home!"
Bob Ross,That should give us enough to get started with
Bob Ross,"Im going to take a little touch of the Indian Yellow, just a very, very small amount on the two-inch brush"
Donald Trump,“8X more new manufacturing jobs now than with Obama.”
Donald Trump,All the guys that said would lose are rapidly coming on board. Mitt will remember the early helpers.
holt,"okay, enough."
Bob Ross,"Alright, Im gonna blend this out till its very, very soft. Very gentle. And this brush, as I mentioned earlier, is very soft. Very, very soft"
Bob Ross,"From all of us here, Id like to wish you happy painting and God bless my friend. upbeat music"
Donald Trump,Democrats campaigned on working within Washington and “getting things done!” How is that working out? # 2020TAKEBACKTHEHOUSE
holt,Some of them are buffoons. But I'll find the non-buffoons to investigate. Could you ask Scully to return my thumbtacks?
Donald Trump,All 3 of the Trump men are handsome! Love watching # CelebApprentice!
Bob Ross,and form I know you get tired of hearing me say that but its so important there just one layer after another H you can almost hear the birds in here did you get to see the little blue J I had on a
Donald Trump,The Trump Organization is honored to have been awarded the redevelopment of The Old Post Office. Will be DC's finest hotel.
holt,"OK, I'll be right there. (Ends call)"
holt,I'd like to talk about my promotion.
Donald Trump,"Well, the year has officially begun. I have many stops planned and will be working very hard to win so that we can turn our country around!"
Donald Trump,You gotta run. I think you have what it takes to stop Hillary!!!
Donald Trump,Love this man!!! Thanks.
Donald Trump,"With all of the recently reported electronic surveillance, intercepts, unmasking and illegal leaking of information, I have no idea..."
Bob Ross,"Anywhere that you want, put a little dark right there. There we are. See. But look at the distance in that already. Theres one, two, three, four, five, six planes. Six planes in there"
holt,"Thank you for joining us, Peralta. This is Deputy Chief Gerber."
holt,So Gina. Civilian administrators like yourself often have their ear to the ground. What do Santiago and Peralta have riding on this bet of theirs?
Donald Trump,“ A good head and a good heart are always a formidable combination. -- Nelson Mandela”
Bob Ross,"See this little line here, I wanna kill that, so well just blend that out and just sorta let it go backwards here. Now. Thats all you have to do, just blend it back"
holt,"Okay. Dismissed! Sergeant Jeffords, my office."
Donald Trump,"Mr. President, tell Iran to immediately free the CHRISTIAN PASTOR, as a sign of good faith, & if they refuse break off talks--big sanctions"
Bob Ross,"Thats totally up to you. Heres a dirty fan brush, well just use it. Same one I was making the clouds with, this is number three fan brush. But you can use your six"
Bob Ross,"Next well go into a little bit of white, and a touch of Alizarin Crimson"
Bob Ross,if you over mix it on the palette then you get one dead old dull color and were looking for some life and some action in this we want the son of a gun to stand out and shine in the sun there see no
holt,Does it matter if I say no?
Donald Trump,France is losing its businesses and wealth rapidly and day by day.
Donald Trump,"“Elijah Cummings has had his chance to address it (crime & conditions in Baltimore) for decades, and he hasn’t gotten it done.” How can he get it done when he just wants to use his Oversight Committee to hurt innocent people and divide our Country!"
Donald Trump,"Iran, and it’s economy, is going very bad, and fast! I will meet, or not meet, it doesn’t matter - it is up to them!"
Bob Ross,the things above it are high so if this tree is this high that reflection would have to go all the way to the bottom okay and why dont we just take a clean dry brush and go across that real quick and
Donald Trump,“Nancy Pelosi and the Democrats haven’t met the standards of impeachment. They have to be very careful here.” Jeanne Zaino.
Bob Ross,"Begin dropping em in, see there, work in layers, though. I know you get tired of hearing that, but its so important. Start with the area thats farthest away and work forward"
Donald Trump,"What a true entrepreneur! Celebrity Apprentice creates great leaders, which offers successful tools along this journey!"
holt,Yes.
holt,"With the first pick of the draft, I choose Terry."
Donald Trump,Trump Golf Links at Ferry Point will host many major championships over the years. Great thing for NYC—congratulations to all!
holt,Please refrain from make believe this time.
Donald Trump,"Just took off for ceremony Harbor. Will then be heading to Japan, SKorea, China, Vietnam & the Philippines. Will never let you down!"
Bob Ross,"AND WHEN YOURE PAINTING, MAKE UP LITTLE STORIES. THINK ABOUT THE SCENE THAT YOURE PAINTING. BECOME PART OF IT. MAKE FRIENDS WITH A TREE. SHOOT, YOU CAN JUST DROP ALL THIS STUFF IN. AND LET IT GO"
Donald Trump,". is changing their theme from ""fair and balanced"" to ""unfair and unbalanced."" But dying is worse.Their phony poll is a joke!"
holt,I see.
Donald Trump,"....I am a Tariff Man. When people or countries come in to raid the great wealth of our Nation, I want them to pay for the privilege of doing so. It will always be the best way to max out our economic power. We are right now taking in $billions in Tariffs. MAKE AMERICA RICH AGAIN"
holt,What's your problem with celebrating Thanksgiving?
holt,"I was moved by your speech, Peralta."
Bob Ross,beautiful little detailed things but back here you dont see all that detail so dont overdo it sometimes that can be very disturbing in a painting when theres too much detail and something that you
Donald Trump,Thanks for all of your kind words and thoughts. Big progress is being made. Keep up the great work!
holt,"A copy of that letter exists in the mayor's archives. I can't go snooping around without alerting Madeline, so it won't be easy, and we don't have much time, but I need you to find that letter. Are you with me?"
holt,"You have until tomorrow, you grackle."
Donald Trump,Thanks.
Donald Trump,. is weak on illegal immigration and will allow anyone into the country.....
Bob Ross,then all youre doing is just barely touching Im going to add a little bit of the yellow ochre and the Indian yellow maybe even throw in a little touch of bright red here and there as we paint along
Donald Trump,"By popular request, I will be live tweeting during Celebrity Apprentice (Sunday 9 P.M.)."
holt,She's scared.
Bob Ross,"compositions. Theyre only intended as guides to help you learn the technique and to have an idea. Shoot, mix em up. Lets have some fun, maybe theres some little grassy areas that live in here"
holt,"Take the shot, sergeant."
Bob Ross,"These whole winter scenes are a lot of fun, and I really think they might be the easiest ones to do. There we are. And we just blend that a little bit till it looks nice and soft and. pretty"
holt,"You’re the arresting office. It’s your call. I told you to do every part of your job, and making this call is part of your job."
holt,"Yes, this is unfortunate, but let's not overreact to one graffito."
Donald Trump,The NYPD has been doing a fantastic job protecting NYC. I hope Chief Ray Kelly is strongly considering running for mayor.
Bob Ross,"Well just go right up here, and maybe theres a tree trunk that you can see right there, and then it skips along and maybe hits someone right here. Its a hit-and-miss method, thats what it is"
Donald Trump,I'm in the states next week and whenever I am there I always buy Trump shirts and ties. I luv em
Bob Ross,"And when youre doing this at home, youll have a lot more time than we do here"
Donald Trump,"..willing to lose their wealth, or a big part of it, just for the possibility of winning the Election. But it won’t work because I always find a way to win, especially for the people! The greatest political movement in the history of our Country will have another big win in 2020!"
Donald Trump,"I give a lot of shit, but Trump National in Bedminster is absolutely incredible."" Thanks (sort of)!"
Bob Ross,"We can make them with a fan brush, one inch brush, two and a half inch brush"
Bob Ross,"In our world, I think its going to be maybe right there, crash over. Come back this way. Helps to make little sounds like you are at the ocean"
Donald Trump,"“Someone should call Obama up. The Obama Administration spied on a rival presidential campaign using Federal Agencies. I mean, that seems like a headline to me?” It will all start coming out, and the Witch Hunt will end. Presidential Harassment!"
Bob Ross,to see some little distance trees just sort of touch it give it a little snap upward just got to say those little funny sounds or dont work there we goop all kinds of little things like yeah let me
Donald Trump,Our great financial team is in China trying to negotiate a level playing field on trade! I look forward to being with President Xi in the not too distant future. We will always have a good (great) relationship!
Bob Ross,Just take the big brush and tap the canvas. There we go
Bob Ross,"And, underneath the little needles and stuff begin, oh, they get tired"
holt,That's a terrible robot voice.
Donald Trump,"Even the Democrats now say that our Southern Border is a Crisis and a National Emergency. Hopefully, we will not be getting any more BAD (outrageous) court decisions!"
holt,You have a friend... Who's just a silhouette?
Donald Trump,One thing has now been proven. The Democrats do not care about Open Borders and all of the crime and drugs that Open Borders bring!
Bob Ross,"And now in order to set the path down into the painting, well add some bushes that project up over the path here and there"
holt,"He defaced nine police vehicles, and you caught him red-handed. Why would you let him walk?"
holt,Never love anything. That's the lesson. To Captain Dozerman.
Bob Ross,"Let me clean this ol big brush out here. There we go. Now very gently, well bring this together"
holt,That was my speech.
Bob Ross,thinner will thin your paint down till its like water turn that brush bring it to a point we go right in here and just put the indication of a of a happy little tree trunk you could also do this with
Bob Ross,"Just, once again, basic, very basic shape, think like a tree, just think like a tree. Hows the trees arms, how do they hang off the sides"
Donald Trump,Great success today at NATO! Billions of additional dollars paid by members since my election. Great spirit!
Donald Trump,"The pessimist sees the difficulty in every opportunity and the optimist sees the opportunity in every difficulty."" - Pres. Lincoln"
